Energy (eV),Intensity
929,5.835387093
929.05,5.837348246
929.1,5.837166812
929.15,5.836052666
929.2,5.835204998
929.25,5.835168019
929.3,5.835462785
929.35,5.835521403
929.4,5.834854356
929.45,5.833902853
929.5,5.833717998
929.55,5.835361491
929.6,5.837174945
929.65,5.839554848
929.7,5.842367074
929.75,5.845464721
929.8,5.848700891
929.85,5.851928684
929.9,5.8550012
929.95,5.859452067
930,5.864288577
930.05,5.869587682
930.1,5.876484772
930.15,5.880931919
930.2,5.88589064
930.25,5.8913239
930.3,5.897123871
930.35,5.903182721
930.4,5.90939262
930.45,5.915645738
930.5,5.925760974
930.55,5.937576281
930.6,5.948669494
930.65,5.95885209
930.7,5.968213332
930.75,5.978044759
930.8,5.989963103
930.85,6.005559818
930.9,6.02453435
930.95,6.043414747
931,6.058426297
931.05,6.066102699
931.1,6.067015251
931.15,6.064572335
931.2,6.062241241
931.25,6.062958064
931.3,6.067298576
931.35,6.075183194
931.4,6.086529882
931.45,6.101061432
931.5,6.118165664
931.55,6.137197427
931.6,6.157544318
931.65,6.179037122
931.7,6.201825342
931.75,6.226065481
931.8,6.252015642
931.85,6.280397422
931.9,6.31206452
931.95,6.347853275
932,6.387098643
932.05,6.426497015
932.1,6.462477056
932.15,6.491741072
932.2,6.514821558
932.25,6.535069911
932.3,6.555902931
932.35,6.579413433
932.4,6.601492773
932.45,6.616218151
932.5,6.617715465
932.55,6.604672687
932.6,6.583988069
932.65,6.563418375
932.7,6.550239011
932.75,6.544754399
932.8,6.54201869
932.85,6.536957517
932.9,6.525889478
932.95,6.511832362
933,6.499815368
933.05,6.494851673
933.1,6.500299133
933.15,6.51646469
933.2,6.543326606
933.25,6.580789169
933.3,6.627647797
933.35,6.681843279
933.4,6.741294359
933.45,6.804502541
933.5,6.872847138
933.55,6.948594227
933.6,7.033993445
933.65,7.129467932
933.7,7.231992958
933.75,7.338161194
933.8,7.444630407
933.85,7.549068822
933.9,7.64994159
933.95,7.74573549
934,7.835062199
934.05,7.917166745
934.1,7.991494427
934.15,8.057497573
934.2,8.115455981
934.25,8.167249387
934.3,8.214940358
934.35,8.260435339
934.4,8.303130073
934.45,8.340394144
934.5,8.369539322
934.55,8.388684046
934.6,8.400147503
934.65,8.407611919
934.7,8.413784081
934.75,8.417883993
934.8,8.422157168
934.85,8.426245699
934.9,8.429791678
934.95,8.432437197
935,8.433824348
935.05,8.433595223
935.1,8.428096669
935.15,8.416958699
935.2,8.403045456
935.25,8.389112281
935.3,8.376866589
935.35,8.365889486
935.4,8.355504571
935.45,8.345054011
935.5,8.334200976
935.55,8.322879855
935.6,8.311033559
935.65,8.304256403
935.7,8.298071301
935.75,8.29195344
935.8,8.286015916
935.85,8.280371822
935.9,8.275134253
935.95,8.270416303
936,8.264319643
936.05,8.258313517
936.1,8.253392853
936.15,8.248499429
936.2,8.242793393
936.25,8.23666699
936.3,8.230944186
936.35,8.226448459
936.4,8.223838954
936.45,8.223424783
936.5,8.225470167
936.55,8.230180798
936.6,8.236672549
936.65,8.243097344
936.7,8.247573871
936.75,8.248686353
936.8,8.24771732
936.85,8.246919122
936.9,8.248538823
936.95,8.253563546
937,8.260230369
937.05,8.266413552
937.1,8.270074883
937.15,8.27086903
937.2,8.269982668
937.25,8.268657727
937.3,8.267963501
937.35,8.267941278
937.4,8.268253381
937.45,8.268562131
937.5,8.268656623
937.55,8.268609534
937.6,8.268532021
937.65,8.268529861
937.7,8.26860064
937.75,8.268641774
937.8,8.268546902
937.85,8.268254242
937.9,8.267974769
937.95,8.268022575
938,8.268710264
938.05,8.269945346
938.1,8.270706643
938.15,8.269843372
938.2,8.266273854
938.25,8.260360945
938.3,8.25383592
938.35,8.248483914
938.4,8.245805632
938.45,8.245513537
938.5,8.246626807
938.55,8.24803204
938.6,8.248707681
938.65,8.249234992
938.7,8.24956904
938.75,8.24966489
938.8,8.249477608
938.85,8.248962261
938.9,8.248073915
938.95,8.245337342
939,8.240663983
939.05,8.234136765
939.1,8.226482309
939.15,8.221611526
939.2,8.216340797
939.25,8.210756797
939.3,8.204946198
939.35,8.198995675
939.4,8.1929919
939.45,8.187021547
939.5,8.176363604
939.55,8.16510053
939.6,8.154033787
939.65,8.14297719
939.7,8.13180653
939.75,8.120550652
939.8,8.109261609
939.85,8.097989966
939.9,8.086751129
939.95,8.07552483
940,8.064289212
940.05,8.053027773
940.1,8.041760562
940.15,8.030522905
940.2,8.019350078
940.25,8.008237908
940.3,7.99708232
940.35,7.985763672
940.4,7.97417307
940.45,7.962466269
940.5,7.951073709
940.55,7.94043859
940.6,7.930814171
940.65,7.921120492
940.7,7.909706569
940.75,7.896961607
940.8,7.894162247
940.85,7.891249449
940.9,7.888240184
940.95,7.885151422
941,7.882000135
941.05,7.878803294
941.1,7.875577868
941.15,7.87234083
941.2,7.86910915
941.25,7.865899799
941.3,7.862729747
941.35,7.859615966
941.4,7.856575427
941.45,7.8536251
941.5,7.850781956
941.55,7.848062967
941.6,7.845485102
941.65,7.843065334
941.7,7.840820632
941.75,7.838767968
941.8,7.836924312
941.85,7.834388335
941.9,7.829941775
941.95,7.830781243
942,7.833911888
942.05,7.836400247
942.1,7.83703482
942.15,7.836518227
942.2,7.835653043
942.25,7.835349559
942.3,7.835212207
942.35,7.835129752
942.4,7.835094216
942.45,7.835097618
942.5,7.835131979
942.55,7.835189319
942.6,7.835261659
942.65,7.835341018
942.7,7.835419418
942.75,7.835488879
942.8,7.835592498
942.85,7.835603664
942.9,7.835552322
942.95,7.835497676
943,7.83548054
943.05,7.835488907
943.1,7.835501342
943.15,7.835497098
943.2,7.835476634
943.25,7.835465083
943.3,7.835488964
943.35,7.835566264
943.4,7.835645956
943.45,7.835643609
943.5,7.835474646
943.55,7.835142879
943.6,7.834912629
943.65,7.835095973
943.7,7.835984993
943.75,7.837227686
943.8,7.837705179
943.85,7.836253813
943.9,7.831932753
943.95,7.825654888
944,7.819252458
944.05,7.814563894
944.1,7.812769521
944.15,7.813059689
944.2,7.814250073
944.25,7.815176474
944.3,7.815354846
944.35,7.815129751
944.4,7.814895927
944.45,7.814991525
944.5,7.81527007
944.55,7.81533887
944.6,7.814803457
944.65,7.813604983
944.7,7.812725885
944.75,7.813349949
944.8,7.815688846
944.85,7.818127632
944.9,7.821086037
944.95,7.82433446
945,7.827643302
945.05,7.830782964
945.1,7.833523846
945.15,7.835765795
945.2,7.837641538
945.25,7.837400085
945.3,7.836197422
945.35,7.835173369
945.4,7.834864281
945.45,7.835036759
945.5,7.83540736
945.55,7.835550936
945.6,7.835611484
945.65,7.835665333
945.7,7.835712305
945.75,7.835752222
945.8,7.835784907
945.85,7.835810181
945.9,7.835827867
945.95,7.835837788
946,7.835839765
946.05,7.83583362
946.1,7.835819177
946.15,7.835796257
946.2,7.835764682
946.25,7.835724275
946.3,7.835674859
946.35,7.835616254
946.4,7.835548285
946.45,7.835334483
946.5,7.83488979
946.55,7.834721102
946.6,7.835200728
946.65,7.836586633
946.7,7.838034706
946.75,7.838084668
946.8,7.83526959
946.85,7.828983123
946.9,7.821580662
946.95,7.816054273
947,7.815341025
947.05,7.81997389
947.1,7.827199595
947.15,7.83402802
947.2,7.837735555
947.25,7.838245938
947.3,7.836998591
947.35,7.835450795
947.4,7.834722372
947.45,7.834741053
947.5,7.835171466
947.55,7.835680124
947.6,7.836020496
947.65,7.836067698
947.7,7.835705917
947.75,7.835204311
947.8,7.834729405
947.85,7.834284623
947.9,7.833969794
947.95,7.833884746
948,7.83412931
948.05,7.834803313
948.1,7.835694158
948.15,7.836285849
948.2,7.836966125
948.25,7.837730385
948.3,7.838574029
948.35,7.839492458
948.4,7.840481071
948.45,7.841535267
948.5,7.842650448
948.55,7.843822013
948.6,7.845045362
948.65,7.846315894
948.7,7.84762901
948.75,7.84898011
948.8,7.850364594
948.85,7.851777861
948.9,7.853215311
948.95,7.854672345
949,7.856234451
949.05,7.863583379
949.1,7.870176066
949.15,7.875010206
949.2,7.877104714
949.25,7.876645602
949.3,7.875569431
949.35,7.875956721
949.4,7.878005344
949.45,7.880568398
949.5,7.883701477
949.55,7.887115538
949.6,7.890521538
949.65,7.893630432
949.7,7.896153176
949.75,7.898136495
949.8,7.898390955
949.85,7.897267635
949.9,7.896928005
