Energy (eV),Intensity
929,0.144338197
929.05,0.149654018
929.1,0.156408809
929.15,0.162425208
929.2,0.16555379
929.25,0.165357405
929.3,0.164073697
929.35,0.164172846
929.4,0.166209814
929.45,0.168861481
929.5,0.172126173
929.55,0.175666897
929.6,0.179146661
929.65,0.182228471
929.7,0.184575335
929.75,0.186010356
929.8,0.185114541
929.85,0.183386221
929.9,0.184131563
929.95,0.187655051
930,0.19203266
930.05,0.197519637
930.1,0.203738781
930.15,0.210312889
930.2,0.216864761
930.25,0.223017195
930.3,0.229877648
930.35,0.237384481
930.4,0.242393334
930.45,0.24615736
930.5,0.249896677
930.55,0.254412926
930.6,0.260220447
930.65,0.26782795
930.7,0.277545184
930.75,0.288820782
930.8,0.300870466
930.85,0.312925955
930.9,0.325416582
930.95,0.340779126
931,0.361642009
931.05,0.390448572
931.1,0.427219174
931.15,0.47027162
931.2,0.517888367
931.25,0.568697978
931.3,0.622866921
931.35,0.680988668
931.4,0.74366394
931.45,0.812074271
931.5,0.888398039
931.55,0.974911743
931.6,1.073647648
931.65,1.183332552
931.7,1.300316154
931.75,1.420895943
931.8,1.541989316
931.85,1.663341722
931.9,1.785504616
931.95,1.90901287
932,2.032962302
932.05,2.153919714
932.1,2.268195295
932.15,2.372231902
932.2,2.46432932
932.25,2.54415398
932.3,2.611404024
932.35,2.6657135
932.4,2.70641626
932.45,2.732758337
932.5,2.743994939
932.55,2.740238192
932.6,2.723142387
932.65,2.694523075
932.7,2.656090178
932.75,2.608023933
932.8,2.549352476
932.85,2.479075743
932.9,2.396770801
932.95,2.304790316
933,2.206320324
933.05,2.104537555
933.1,2.001664111
933.15,1.898162627
933.2,1.794306185
933.25,1.690402228
933.3,1.587273211
933.35,1.486138523
933.4,1.388227793
933.45,1.294670632
933.5,1.206102751
933.55,1.123007666
933.6,1.045871384
933.65,0.975456659
933.7,0.913048661
933.75,0.859990534
933.8,0.817458312
933.85,0.784034061
933.9,0.756254056
933.95,0.730599044
