Energy (eV),Intensity
929,3.587835174
929.05,3.587294621
929.1,3.586885062
929.15,3.587098794
929.2,3.588428962
929.25,3.591420539
929.3,3.596699457
929.35,3.604898686
929.4,3.612313971
929.45,3.61869299
929.5,3.625386169
929.55,3.632015485
929.6,3.638202915
929.65,3.643570437
929.7,3.647740028
929.75,3.65080946
929.8,3.650863259
929.85,3.648811573
929.9,3.648607038
929.95,3.653891564
930,3.664496651
930.05,3.677697964
930.1,3.690723966
930.15,3.701577261
930.2,3.711524048
930.25,3.72269041
930.3,3.737175092
930.35,3.755166341
930.4,3.77372456
930.45,3.789620637
930.5,3.799914261
930.55,3.805323692
930.6,3.809078949
930.65,3.814459273
930.7,3.824258848
930.75,3.839172495
930.8,3.859327207
930.85,3.884835523
930.9,3.914729275
930.95,3.946228804
931,3.976381513
931.05,4.002538234
931.1,4.02602209
931.15,4.050947413
931.2,4.081486482
931.25,4.122316685
931.3,4.180359817
931.35,4.263160843
931.4,4.378153576
931.45,4.523840525
931.5,4.683395617
931.55,4.838483922
931.6,4.971829124
931.65,5.080482239
931.7,5.171797661
931.75,5.253356085
931.8,5.332154123
931.85,5.412523782
931.9,5.498037641
931.95,5.592227851
932,5.695136902
932.05,5.800674482
932.1,5.902128003
932.15,5.992939356
932.2,6.068712717
932.25,6.126643641
932.3,6.163964603
932.35,6.178746311
932.4,6.172985682
932.45,6.149828194
932.5,6.11241405
932.55,6.063378195
932.6,6.004446269
932.65,5.93724883
932.7,5.863395117
932.75,5.784185658
932.8,5.700688467
932.85,5.613965868
932.9,5.524990967
932.95,5.434307801
933,5.342331581
933.05,5.249483797
933.1,5.156821908
933.15,5.066575522
933.2,4.981100521
933.25,4.902728456
933.3,4.83342607
933.35,4.774878949
933.4,4.728765423
933.45,4.696195766
933.5,4.675475044
933.55,4.66404393
933.6,4.659350521
933.65,4.65968215
933.7,4.664910367
933.75,4.675082519
933.8,4.690251211
933.85,4.710550643
933.9,4.736179373
933.95,4.767337702
934,4.803763063
934.05,4.842845695
934.1,4.881233622
934.15,4.915594174
934.2,4.944928242
934.25,4.972748722
934.3,5.003084113
934.35,5.039630559
934.4,5.080739322
934.45,5.1204483
934.5,5.152672313
934.55,5.165027913
934.6,5.173030804
934.65,5.178174045
934.7,5.180805917
934.75,5.181274705
934.8,5.17992869
934.85,5.177116156
934.9,5.170525666
934.95,5.15961117
935,5.14736169
935.05,5.135393902
935.1,5.125219336
935.15,5.117787199
935.2,5.113859483
935.25,5.114197161
935.3,5.119433654
935.35,5.12994358
935.4,5.146070211
935.45,5.168082512
935.5,5.19496493
935.55,5.224616614
935.6,5.254902605
935.65,5.284024873
935.7,5.312036166
935.75,5.339621383
935.8,5.367463505
935.85,5.395859106
935.9,5.424301483
935.95,5.452183816
936,5.478894848
936.05,5.503743756
936.1,5.525970935
936.15,5.544814513
936.2,5.559734448
936.25,5.571442311
936.3,5.58108823
936.35,5.589818592
936.4,5.598050116
936.45,5.604645305
936.5,5.608267346
936.55,5.607662077
936.6,5.603114295
936.65,5.596270013
936.7,5.588822181
936.75,5.582225007
936.8,5.576548924
936.85,5.571367013
936.9,5.566252371
936.95,5.56090609
937,5.555308641
937.05,5.549477353
937.1,5.543438415
937.15,5.537389395
937.2,5.531682955
937.25,5.526677348
937.3,5.522533241
937.35,5.518234706
937.4,5.51233208
937.45,5.503380791
937.5,5.491174551
937.55,5.478276911
937.6,5.467627297
937.65,5.462023212
937.7,5.46140938
937.75,5.463089138
937.8,5.464266256
937.85,5.463687148
937.9,5.46227323
937.95,5.460107404
938,5.457281464
938.05,5.453887207
938.1,5.450016427
938.15,5.44576092
938.2,5.438796752
938.25,5.430015309
938.3,5.42383086
938.35,5.42260589
938.4,5.424996897
938.45,5.428849122
938.5,5.434001182
938.55,5.440118928
938.6,5.446868214
938.65,5.453914892
938.7,5.460924815
938.75,5.470789238
938.8,5.482400056
938.85,5.493113486
938.9,5.503748632
938.95,5.51017242
939,5.515891256
939.05,5.52168864
939.1,5.527489167
939.15,5.533217432
939.2,5.538798031
939.25,5.544155557
939.3,5.548389775
939.35,5.551597144
939.4,5.554604551
939.45,5.5573783
