Energy (eV),Intensity
925.4,3.066708156
925.41,3.066708173
925.42,3.066708189
925.43,3.066708203
925.44,3.06670821
925.45,3.066708209
925.46,3.066708196
925.47,3.066708169
925.48,3.066083207
925.49,3.063792477
925.5,3.061012802
925.51,3.057907099
925.52,3.054638287
925.53,3.051369283
925.54,3.048263004
925.55,3.045482368
925.56,3.043190294
925.57,3.041016451
925.58,3.038132714
925.59,3.034741875
925.6,3.031034009
925.61,3.027199191
925.62,3.023427495
925.63,3.019908995
925.64,3.016833767
925.65,3.014391885
925.66,3.013762489
925.67,3.012972193
925.68,3.01206772
925.69,3.01109796
925.7,3.0101118
925.71,3.009158129
925.72,3.008285834
925.73,3.007543805
925.74,3.007144776
925.75,3.007144764
925.76,3.007144757
925.77,3.007144753
925.78,3.007144753
925.79,3.007144756
925.8,3.007144761
925.81,3.007144769
925.82,3.007144778
925.83,3.0073211
925.84,3.007650606
925.85,3.008038079
925.86,3.0084618
925.87,3.008900051
925.88,3.009331111
925.89,3.009733262
925.9,3.010084783
925.91,3.010363956
925.92,3.009668578
925.93,3.008790443
925.94,3.007785485
925.95,3.006708011
925.96,3.005612324
925.97,3.004552732
925.98,3.003583537
925.99,3.002759047
926,3.002232287
926.01,3.001926922
926.02,3.001556343
926.03,3.001142274
926.04,3.000706439
926.05,3.00027056
926.06,2.999856361
926.07,2.999485565
926.08,2.999179896
926.09,2.999756304
926.1,3.000991893
926.11,3.002444913
926.12,3.004033898
926.13,3.005677386
926.14,3.007293912
926.15,3.008802013
926.16,3.010120226
926.17,3.011167086
926.18,3.011756472
926.19,3.012497889
926.2,3.013346457
926.21,3.01425631
926.22,3.015181585
926.23,3.016076415
926.24,3.016894937
926.25,3.017591285
926.26,3.017862763
926.27,3.017481145
926.28,3.017017985
926.29,3.016500437
926.3,3.015955657
926.31,3.015410796
926.32,3.01489301
926.33,3.014429452
926.34,3.014047275
926.35,3.013746242
926.36,3.013380184
926.37,3.012949692
926.38,3.012478902
926.39,3.011991949
926.4,3.01151297
926.41,3.011066101
926.42,3.010675478
926.43,3.010365236
926.44,3.010364443
926.45,3.010364455
926.46,3.01036446
926.47,3.010364459
926.48,3.010364454
926.49,3.010364446
926.5,3.010364437
926.51,3.010364428
926.52,3.010364422
926.53,3.010364422
926.54,3.010364422
926.55,3.010364422
926.56,3.010364422
926.57,3.010364422
926.58,3.010364422
926.59,3.010364422
926.6,3.010364422
926.61,3.010364428
926.62,3.010364438
926.63,3.010364449
926.64,3.010364458
926.65,3.010364464
926.66,3.010364465
926.67,3.01036446
926.68,3.010364446
926.69,3.010364422
926.7,3.010711661
926.71,3.011150594
926.72,3.011652987
926.73,3.012191687
926.74,3.012739541
926.75,3.013269394
926.76,3.013754094
926.77,3.014166487
926.78,3.014388977
926.79,3.014388985
926.8,3.014388991
926.81,3.014388994
926.82,3.014388995
926.83,3.014388994
926.84,3.014388991
926.85,3.014388985
926.86,3.014388977
926.87,3.014169389
926.88,3.013757676
926.89,3.013273441
926.9,3.012743838
926.91,3.012196021
926.92,3.011657142
926.93,3.011154355
926.94,3.010714813
926.95,3.010365671
926.96,3.010364446
926.97,3.01036446
926.98,3.010364465
926.99,3.010364464
927,3.010364458
927.01,3.010364449
927.02,3.010364438
927.03,3.010364428
927.04,3.010364422
927.05,3.010364419
927.06,3.010364416
927.07,3.010364414
927.08,3.010364412
927.09,3.010364411
927.1,3.010364412
927.11,3.010364414
927.12,3.01036442
927.13,3.010583806
927.14,3.010995481
927.15,3.011479692
927.16,3.012009286
927.17,3.012557107
927.18,3.013096
927.19,3.01359881
927.2,3.014038381
927.21,3.014387559
927.22,3.014735741
927.23,3.015174576
927.24,3.01567691
927.25,3.016215588
927.26,3.016763454
927.27,3.017293352
927.28,3.017778126
927.29,3.018190622
927.3,3.018310684
927.31,3.017929277
927.32,3.017466269
927.33,3.016948814
927.34,3.016404064
927.35,3.015859175
927.36,3.015341299
927.37,3.014877589
927.38,3.014495199
927.39,3.014169804
927.4,3.013758194
927.41,3.013274034
927.42,3.012744476
927.43,3.012196671
927.44,3.01165777
927.45,3.011154924
927.46,3.010715285
927.47,3.010366004
927.48,3.01071101
927.49,3.011149826
927.5,3.01165214
927.51,3.0121908
927.52,3.012738655
927.53,3.013268553
927.54,3.013753342
927.55,3.01416587
927.56,3.014388975
927.57,3.014388978
927.58,3.014388978
927.59,3.014388976
927.6,3.014388974
927.61,3.014388971
927.62,3.014388969
927.63,3.014388969
927.64,3.014388972
927.65,3.014607949
927.66,3.015019537
927.67,3.015503692
927.68,3.01603326
927.69,3.016581081
927.7,3.017120001
927.71,3.017622861
927.72,3.018062505
927.73,3.018411777
927.74,3.019106177
927.75,3.019983678
927.76,3.02098823
927.77,3.022065526
927.78,3.023161258
927.79,3.024221117
927.8,3.025190795
927.81,3.026015984
927.82,3.026565102
927.83,3.026946417
927.84,3.027409357
927.85,3.027926769
927.86,3.0284715
927.87,3.029016399
927.88,3.029534313
927.89,3.029998091
927.9,3.03038058
927.91,3.030705941
927.92,3.031117464
927.93,3.031601567
927.94,3.032131098
927.95,3.032678904
927.96,3.033217832
927.97,3.033720728
927.98,3.03416044
927.99,3.034509815
928,3.034511705
928.01,3.034511688
928.02,3.03451168
928.03,3.034511679
928.04,3.034511683
928.05,3.034511693
928.06,3.034511705
928.07,3.03451172
928.08,3.034614012
928.09,3.03499526
928.1,3.035458153
928.11,3.035975537
928.12,3.03652026
928.13,3.03706517
928.14,3.037583113
928.15,3.038046937
928.16,3.038429491
928.17,3.038973387
928.18,3.039796331
928.19,3.040764469
928.2,3.041823495
928.21,3.042919103
928.22,3.043996986
928.23,3.045002837
928.24,3.045882351
928.25,3.04658122
928.26,3.04658534
928.27,3.046585315
928.28,3.046585307
928.29,3.046585311
928.3,3.046585325
928.31,3.046585343
928.32,3.046585361
928.33,3.046585377
928.34,3.046483289
928.35,3.046102089
928.36,3.04563923
928.37,3.045121863
928.38,3.044577144
928.39,3.044032225
928.4,3.043514261
928.41,3.043050404
928.42,3.042667808
928.43,3.042560829
928.44,3.042560824
928.45,3.042560822
928.46,3.042560822
928.47,3.042560823
928.48,3.042560825
928.49,3.042560828
928.5,3.042560831
928.51,3.042560833
928.52,3.042560826
928.53,3.042560818
928.54,3.042560809
928.55,3.042560803
928.56,3.042560799
928.57,3.0425608
928.58,3.042560806
928.59,3.042560819
928.6,3.042866555
928.61,3.044009986
928.62,3.045398442
928.63,3.046950463
928.64,3.048584592
928.65,3.050219368
928.66,3.051773333
928.67,3.053165027
928.68,3.054312993
928.69,3.055288911
928.7,3.056523041
928.71,3.057975051
928.72,3.059563482
928.73,3.061206876
928.74,3.062823773
928.75,3.064332715
928.76,3.065652241
928.77,3.066700894
928.78,3.066708071
928.79,3.06670803
928.8,3.066708013
928.81,3.066708016
928.82,3.066708034
928.83,3.066708061
928.84,3.066708093
928.85,3.066708124
928.86,3.066708141
928.87,3.066708141
928.88,3.066708141
928.89,3.066708141
928.9,3.066708141
928.91,3.066708141
928.92,3.066708141
928.93,3.066708141
928.94,3.066708141
928.95,3.066708141
928.96,3.066708141
928.97,3.066708141
928.98,3.066708141
928.99,3.066708141
929,3.066708141
929.01,3.066708141
929.02,3.066708141
929.03,3.066708141
929.04,3.066708139
929.05,3.066708136
929.06,3.066708133
929.07,3.066708131
929.08,3.06670813
929.09,3.06670813
929.1,3.066708132
929.11,3.066708137
929.12,3.066809674
929.13,3.067190707
929.14,3.067653446
929.15,3.068170737
929.16,3.068715429
929.17,3.069260369
929.18,3.069778404
929.19,3.070242381
929.2,3.070625149
929.21,3.071168155
929.22,3.071990729
929.23,3.072958622
929.24,3.074017522
929.25,3.07511312
929.26,3.076191107
929.27,3.077197172
929.28,3.078077005
929.29,3.078776297
929.3,3.079471722
929.31,3.08034868
929.32,3.081352883
929.33,3.082430021
929.34,3.083525785
929.35,3.084585867
929.36,3.085555957
929.37,3.086381747
929.38,3.087134941
929.39,3.088277898
929.4,3.089666013
929.41,3.091217828
929.42,3.092851885
929.43,3.094486725
929.44,3.09604089
929.45,3.097432923
929.46,3.098581366
929.47,3.099557127
929.48,3.100790838
929.49,3.102242569
929.5,3.103830857
929.51,3.105474238
929.52,3.107091252
929.53,3.108600434
929.54,3.109920323
929.55,3.110969457
929.56,3.111667663
929.57,3.112544523
929.58,3.113548666
929.59,3.114625781
929.6,3.115721558
929.61,3.116781684
929.62,3.117751849
929.63,3.118577741
929.64,3.119229631
929.65,3.119991496
929.66,3.120916828
929.67,3.121951323
929.68,3.123040676
929.69,3.124130582
929.7,3.125166737
929.71,3.126094837
929.72,3.126860576
929.73,3.127728367
929.74,3.128961939
929.75,3.130413578
929.76,3.13200182
929.77,3.1336452
929.78,3.135262255
929.79,3.136771519
929.8,3.138091527
929.81,3.139140816
929.82,3.140183614
929.83,3.141498797
929.84,3.143004938
929.85,3.144620573
929.86,3.146264237
929.87,3.147854465
929.88,3.149309794
929.89,3.150548758
929.9,3.151425669
929.91,3.152187426
929.92,3.153112678
929.93,3.154147122
929.94,3.155236454
929.95,3.156326372
929.96,3.157362572
929.97,3.158290751
929.98,3.159056605
929.99,3.160375077
930,3.162462406
930.01,3.164918854
930.02,3.167606557
930.03,3.170387651
930.04,3.173124272
930.05,3.175678556
930.06,3.17791264
930.07,3.179688658
930.08,3.181475798
930.09,3.183730166
930.1,3.18631197
930.11,3.189081557
930.12,3.191899276
930.13,3.194625473
930.14,3.197120497
930.15,3.199244695
930.16,3.200999823
930.17,3.20325548
930.18,3.205995437
930.19,3.209058866
930.2,3.212284941
930.21,3.215512834
930.22,3.218581717
930.23,3.221330765
930.24,3.223599149
930.25,3.225486969
