Energy (eV),Intensity
925.09,1.475674816
925.1,1.483699909
925.11,1.491557508
925.12,1.499121974
925.13,1.506267669
925.14,1.512868954
925.15,1.518800191
925.16,1.523935742
925.17,1.528149968
925.18,1.529695431
925.19,1.530219736
925.2,1.530714634
925.21,1.531180629
925.22,1.531618226
925.23,1.532027928
925.24,1.532410241
925.25,1.532765667
925.26,1.533094711
925.27,1.533397877
925.28,1.53367567
925.29,1.533928594
925.3,1.534157152
925.31,1.53436185
925.32,1.53454319
925.33,1.534701678
925.34,1.534837817
925.35,1.534952112
925.36,1.535045066
925.37,1.535117185
925.38,1.535168971
925.39,1.53520093
925.4,1.535213565
925.41,1.535207381
925.42,1.535182882
925.43,1.535140571
925.44,1.535080954
925.45,1.535004534
925.46,1.534911815
925.47,1.534803302
925.48,1.534679499
925.49,1.534540909
925.5,1.534388038
925.51,1.534221389
925.52,1.534041466
925.53,1.533848774
925.54,1.533643817
925.55,1.533427098
925.56,1.533199123
925.57,1.532960394
925.58,1.532711418
925.59,1.532452696
925.6,1.532184735
925.61,1.531908037
925.62,1.531623108
925.63,1.53133045
925.64,1.531030569
925.65,1.530723969
925.66,1.530411153
925.67,1.530092627
925.68,1.529768893
925.69,1.529440456
925.7,1.529218883
925.71,1.529051735
925.72,1.528883639
925.73,1.52871463
925.74,1.528544743
925.75,1.528374012
925.76,1.528202475
925.77,1.528030164
925.78,1.527857117
925.79,1.527683368
925.8,1.527508953
925.81,1.527333906
925.82,1.527158264
925.83,1.52698206
925.84,1.526805332
925.85,1.526628113
925.86,1.52645044
925.87,1.526272347
925.88,1.52609387
925.89,1.525915044
925.9,1.525735904
925.91,1.525556486
925.92,1.525376825
925.93,1.525196956
925.94,1.525016914
925.95,1.524836735
925.96,1.524656454
925.97,1.524476107
925.98,1.524295727
925.99,1.524115352
926,1.523935016
926.01,1.523754755
926.02,1.523574603
926.03,1.523394596
926.04,1.523214769
926.05,1.523035158
926.06,1.522855797
926.07,1.522676723
926.08,1.52249797
926.09,1.522319573
926.1,1.522141569
926.11,1.521963992
926.12,1.521786877
926.13,1.52161026
926.14,1.521434176
926.15,1.52125866
926.16,1.521083748
926.17,1.520909475
926.18,1.520735876
926.19,1.520562987
926.2,1.520390842
926.21,1.520219477
926.22,1.520048928
926.23,1.519879229
926.24,1.519710416
926.25,1.519542523
926.26,1.519375588
926.27,1.519209644
926.28,1.519044727
926.29,1.518880872
926.3,1.518718115
926.31,1.518556491
926.32,1.518396034
926.33,1.518236781
926.34,1.518078767
926.35,1.517922026
926.36,1.517766595
926.37,1.517612508
926.38,1.517459801
926.39,1.517308509
926.4,1.517158668
926.41,1.517010312
926.42,1.516863476
926.43,1.516718197
926.44,1.51657451
926.45,1.516432449
926.46,1.51629205
926.47,1.516153348
926.48,1.516016379
926.49,1.515881178
926.5,1.51574778
926.51,1.51561622
926.52,1.515486534
926.53,1.515358757
926.54,1.515232924
926.55,1.515109071
926.56,1.514987232
926.57,1.514867443
926.58,1.51474974
926.59,1.514634158
926.6,1.514520731
926.61,1.514409496
926.62,1.514300487
926.63,1.514193739
926.64,1.514089289
926.65,1.513987171
926.66,1.513887421
926.67,1.513790073
926.68,1.513695164
926.69,1.513602728
926.7,1.513512801
926.71,1.513425418
926.72,1.513340614
926.73,1.513258425
926.74,1.512676624
926.75,1.512122438
926.76,1.511858394
926.77,1.511828477
926.78,1.511976672
926.79,1.512246965
926.8,1.512583342
926.81,1.512929789
926.82,1.513230291
926.83,1.513440484
926.84,1.513563164
926.85,1.513613053
926.86,1.513604878
926.87,1.513553361
926.88,1.513473229
926.89,1.513379205
926.9,1.513286014
926.91,1.513208276
926.92,1.513154138
926.93,1.513121601
926.94,1.513107783
926.95,1.513109798
926.96,1.513124763
926.97,1.513149795
926.98,1.513182009
926.99,1.513218522
927,1.513256434
927.01,1.513292673
927.02,1.513324052
927.03,1.513347381
927.04,1.513359472
927.05,1.513357134
927.06,1.513337181
927.07,1.513296421
927.08,1.513231666
927.09,1.513142823
927.1,1.513042351
927.11,1.51294589
927.12,1.512869081
927.13,1.512827564
927.14,1.512836978
927.15,1.512912964
927.16,1.513071163
927.17,1.513242649
927.18,1.513278225
927.19,1.513315339
927.2,1.513353877
927.21,1.513393722
927.22,1.513434757
927.23,1.513476868
927.24,1.513519938
927.25,1.513563851
927.26,1.513608491
927.27,1.513653743
927.28,1.51369949
927.29,1.513745616
927.3,1.513792005
927.31,1.513838542
927.32,1.513885111
927.33,1.513931595
927.34,1.513977878
927.35,1.514023846
927.36,1.51406938
927.37,1.514114367
927.38,1.514158689
927.39,1.514202231
927.4,1.514244876
927.41,1.514286509
927.42,1.514327015
927.43,1.514366276
927.44,1.514404177
927.45,1.514440602
927.46,1.514475435
927.47,1.51450856
927.48,1.514539862
927.49,1.514569223
927.5,1.514596528
927.51,1.514621662
927.52,1.514644508
927.53,1.51466495
927.54,1.514682873
927.55,1.51469816
927.56,1.514710695
927.57,1.514720363
927.58,1.514727048
927.59,1.514730632
927.6,1.514731002
927.61,1.51472804
927.62,1.514721631
927.63,1.514711658
927.64,1.514698006
927.65,1.514680559
927.66,1.514659201
927.67,1.514633815
927.68,1.514604287
927.69,1.514570499
927.7,1.514532336
927.71,1.514489682
927.72,1.514442422
927.73,1.514390438
927.74,1.514333616
927.75,1.514271838
927.76,1.51420499
927.77,1.514132955
927.78,1.514055618
927.79,1.513972862
927.8,1.513884571
927.81,1.513790629
927.82,1.513690921
927.83,1.51358533
927.84,1.513473741
927.85,1.513356038
927.86,1.513232104
927.87,1.512056316
927.88,1.51068926
927.89,1.509358306
927.9,1.508285299
927.91,1.507692088
927.92,1.507800518
927.93,1.508832438
927.94,1.511009693
927.95,1.513320332
927.96,1.513597701
927.97,1.513882621
927.98,1.514174954
927.99,1.51447456
928,1.5147813
928.01,1.515095033
928.02,1.515415621
928.03,1.515742923
928.04,1.516076801
928.05,1.516417115
928.06,1.516763725
928.07,1.517116491
928.08,1.517475275
928.09,1.517839936
928.1,1.518210335
928.11,1.518586332
928.12,1.518967789
928.13,1.519354565
928.14,1.519746521
928.15,1.520143517
928.16,1.520545414
928.17,1.520952072
928.18,1.521363351
928.19,1.521779113
928.2,1.522199218
928.21,1.522623525
928.22,1.523051896
928.23,1.523484191
928.24,1.52392027
928.25,1.524359994
928.26,1.524803224
928.27,1.525249819
928.28,1.525699641
928.29,1.526152549
928.3,1.526608404
928.31,1.527067067
928.32,1.527528398
928.33,1.527992258
928.34,1.528458506
928.35,1.528927004
928.36,1.529397612
928.37,1.52987019
928.38,1.530344599
928.39,1.530820699
928.4,1.531298351
928.41,1.531777415
928.42,1.532257752
928.43,1.532739221
928.44,1.533221685
928.45,1.533705002
928.46,1.534189034
928.47,1.53467364
928.48,1.535158682
928.49,1.53564402
928.5,1.536129514
928.51,1.536615025
928.52,1.537100413
928.53,1.537585539
928.54,1.538070263
928.55,1.538554445
928.56,1.539037946
928.57,1.539520627
928.58,1.540002348
928.59,1.540482969
928.6,1.540962351
928.61,1.541440354
928.62,1.541916839
928.63,1.542391666
928.64,1.542864696
928.65,1.543335789
928.66,1.543804806
928.67,1.544271606
928.68,1.544736051
928.69,1.545198001
928.7,1.545657317
928.71,1.546113858
928.72,1.546567486
928.73,1.54701806
928.74,1.547465442
