Energy (eV),Intensity
925.41,0.081422772
925.42,0.081148831
925.43,0.080690006
925.44,0.080024876
925.45,0.079176242
925.46,0.078195508
925.47,0.07713456
925.48,0.076045282
925.49,0.07497956
925.5,0.073989278
925.51,0.073126322
925.52,0.072442576
925.53,0.071975667
925.54,0.071705994
925.55,0.0715996
925.56,0.071622529
925.57,0.071740824
925.58,0.071920528
925.59,0.072127685
925.6,0.072328338
925.61,0.072488797
925.62,0.072591525
925.63,0.072644106
925.64,0.072656297
925.65,0.072637854
925.66,0.072598536
925.67,0.072548097
925.68,0.072496295
925.69,0.072452887
925.7,0.072426901
925.71,0.072418868
925.72,0.072423809
925.73,0.072436655
925.74,0.072452334
925.75,0.072465776
925.76,0.072471912
925.77,0.072465671
925.78,0.072441982
925.79,0.072398362
925.8,0.072342722
925.81,0.072285587
925.82,0.072237481
925.83,0.072208929
925.84,0.072210455
925.85,0.072252584
925.86,0.07234584
925.87,0.072500459
925.88,0.072709125
925.89,0.072937179
925.9,0.073147592
925.91,0.073303337
925.92,0.073367387
925.93,0.073302714
925.94,0.073072291
925.95,0.07263909
925.96,0.071970997
925.97,0.071093446
925.98,0.070069208
925.99,0.068961684
926,0.067834274
926.01,0.06675038
926.02,0.065773403
926.03,0.064966744
926.04,0.064393804
926.05,0.064096199
926.06,0.064027803
926.07,0.06412041
926.08,0.064305812
926.09,0.064515801
926.1,0.06468217
926.11,0.06473671
926.12,0.064611215
926.13,0.064238256
926.14,0.063598074
926.15,0.062745273
926.16,0.061740914
926.17,0.060646057
926.18,0.059521763
926.19,0.058429092
926.2,0.057429104
926.21,0.056582858
926.22,0.055947087
926.23,0.055527703
926.24,0.055297604
926.25,0.055229124
926.26,0.055294602
926.27,0.055466371
926.28,0.055716769
926.29,0.056018132
926.3,0.056342795
926.31,0.056663603
926.32,0.05695545
926.33,0.057193747
926.34,0.057353904
926.35,0.057411333
926.36,0.057341444
926.37,0.057119648
926.38,0.056721356
926.39,0.056122437
926.4,0.055326915
926.41,0.054382799
926.42,0.053341925
926.43,0.052256129
926.44,0.051177247
926.45,0.050157115
926.46,0.049247568
926.47,0.048500443
926.48,0.047963378
926.49,0.047634655
926.5,0.047480435
926.51,0.047466334
926.52,0.047557967
926.53,0.047720948
926.54,0.047920892
926.55,0.048123415
926.56,0.048294131
926.57,0.048406228
926.58,0.048463498
926.59,0.04847746
926.6,0.048459634
926.61,0.048421539
926.62,0.048374695
926.63,0.048330622
926.64,0.04830084
926.65,0.048296729
926.66,0.048321128
926.67,0.048363509
926.68,0.048412178
926.69,0.048455441
926.7,0.048481604
926.71,0.048478973
926.72,0.048435854
926.73,0.048340555
926.74,0.04818366
926.75,0.047982619
926.76,0.047772386
926.77,0.047588219
926.78,0.047465371
926.79,0.047439099
926.8,0.047544658
926.81,0.047817303
926.82,0.048292289
926.83,0.048989984
926.84,0.049870491
926.85,0.050878665
926.86,0.051959365
926.87,0.053057447
926.88,0.054117768
926.89,0.055085185
926.9,0.055904554
926.91,0.056521281
926.92,0.056914623
926.93,0.057116894
926.94,0.057165042
926.95,0.057096016
926.96,0.056946762
926.97,0.056754229
926.98,0.056555364
926.99,0.056387115
927,0.056283746
927.01,0.056247832
927.02,0.056261266
927.03,0.056305585
927.04,0.056362326
927.05,0.056413024
927.06,0.056439219
927.07,0.056422445
927.08,0.05634424
927.09,0.056195245
927.1,0.05600301
927.11,0.05580444
927.12,0.05563644
927.13,0.055535915
927.14,0.055539769
927.15,0.055684907
927.16,0.056008233
927.17,0.05654611
927.18,0.057301158
927.19,0.058223041
927.2,0.059256787
927.21,0.060347425
927.22,0.061439984
927.23,0.062479493
927.24,0.063410982
927.25,0.064179477
927.26,0.064734337
927.27,0.065076122
927.28,0.065238866
927.29,0.065257178
927.3,0.065165668
927.31,0.064998949
927.32,0.064791629
927.33,0.064578319
927.34,0.064393629
927.35,0.064264965
927.36,0.064190469
927.37,0.064160856
927.38,0.06416684
927.39,0.064199135
927.4,0.064248456
927.41,0.064305517
927.42,0.064361033
927.43,0.064405786
927.44,0.064434898
927.45,0.064450301
927.46,0.06445453
927.47,0.064450115
927.48,0.064439589
927.49,0.064425484
927.5,0.064410333
927.51,0.064396667
927.52,0.064386857
927.53,0.064381343
927.54,0.064379304
927.55,0.064379896
927.56,0.064382278
927.57,0.064385604
927.58,0.064389032
927.59,0.064391719
927.6,0.064392822
927.61,0.064391772
927.62,0.064389126
927.63,0.064385725
927.64,0.064382408
927.65,0.064380017
927.66,0.064379393
927.67,0.064381377
927.68,0.064386808
927.69,0.06439651
927.7,0.06441007
927.71,0.064425139
927.72,0.064439198
927.73,0.064449726
927.74,0.064454204
927.75,0.064450111
927.76,0.064434927
927.77,0.064406133
927.78,0.064361774
927.79,0.064306609
927.8,0.064249801
927.81,0.06420059
927.82,0.064168214
927.83,0.064161912
927.84,0.064190923
927.85,0.064264487
927.86,0.064391843
927.87,0.064575085
927.88,0.064787192
927.89,0.064993729
927.9,0.065160259
927.91,0.065252346
927.92,0.065235554
927.93,0.065075445
927.94,0.064737585
927.95,0.064188053
927.96,0.063425424
927.97,0.06249951
927.98,0.061464632
927.99,0.060375111
928,0.059285269
928.01,0.058249427
928.02,0.057321907
928.03,0.056557031
928.04,0.056004863
928.05,0.055664784
928.06,0.055502896
928.07,0.055484717
928.08,0.055575768
928.09,0.055741567
928.1,0.055947635
928.11,0.056159491
928.12,0.056342654
928.13,0.056469812
928.14,0.056542916
928.15,0.05657138
928.16,0.05656462
928.17,0.056532052
928.18,0.056483092
928.19,0.056427154
928.2,0.056373654
928.21,0.056331935
928.22,0.056306732
928.23,0.056295506
928.24,0.056295074
928.25,0.056302255
928.26,0.056313868
928.27,0.056326729
928.28,0.056337658
928.29,0.056343473
928.3,0.056341302
928.31,0.056331979
928.32,0.056318772
928.33,0.056304992
928.34,0.056293951
928.35,0.056288961
928.36,0.056293333
928.37,0.056310379
928.38,0.056343409
928.39,0.056393556
928.4,0.056453032
928.41,0.056511776
928.42,0.056559721
928.43,0.056586805
928.44,0.056582962
928.45,0.05653813
928.46,0.056442243
928.47,0.056285508
928.48,0.056075308
928.49,0.055846186
928.5,0.055635087
928.51,0.055478956
928.52,0.055414738
928.53,0.055479379
928.54,0.055709824
928.55,0.056143017
928.56,0.056811113
928.57,0.057688974
928.58,0.058713735
928.59,0.059821862
928.6,0.060949825
928.61,0.062034092
928.62,0.063011131
928.63,0.063817412
928.64,0.064389401
928.65,0.064685105
928.66,0.064750753
928.67,0.064655155
928.68,0.064467123
928.69,0.06425547
928.7,0.064089007
928.71,0.064036547
928.72,0.064166901
928.73,0.064548123
928.74,0.065200034
928.75,0.066066053
928.76,0.067082834
928.77,0.06818703
928.78,0.069315294
928.79,0.07040428
928.8,0.071390641
928.81,0.072211029
928.82,0.072806833
928.83,0.073176176
928.84,0.073354604
928.85,0.07337832
928.86,0.073283533
928.87,0.073106447
928.88,0.072883269
928.89,0.072650205
928.9,0.072443461
928.91,0.072292175
928.92,0.072196492
928.93,0.072149117
928.94,0.07214276
928.95,0.072170126
928.96,0.072223924
928.97,0.072296862
928.98,0.072381645
928.99,0.072470984
929,0.072557681
929.01,0.072634686
929.02,0.072694965
929.03,0.072731482
929.04,0.0727372
929.05,0.072705085
929.06,0.0726281
929.07,0.07249921
929.08,0.072313394
929.09,0.072089823
929.1,0.071863648
929.11,0.071670306
929.12,0.071545232
929.13,0.07152386
929.14,0.071641627
929.15,0.071933968
929.16,0.072436317
929.17,0.073168548
929.18,0.07408657
929.19,0.075129861
929.2,0.076237901
929.21,0.077350168
929.22,0.078406142
929.23,0.079345301
929.24,0.080107125
929.25,0.080631766
929.26,0.080902647
929.27,0.080971933
929.28,0.080897904
929.29,0.080738841
929.3,0.080553022
929.31,0.080398727
929.32,0.080334235
929.33,0.080417827
929.34,0.080703878
929.35,0.081199789
929.36,0.081881887
929.37,0.082725943
929.38,0.083707729
929.39,0.084803018
929.4,0.08598758
