Energy (eV),Intensity
921.8,5.882065013
921.9,5.882065013
922,5.882065013
922.1,5.882065013
922.2,5.882065013
922.3,5.882065013
922.4,5.882065013
922.5,5.882065013
922.6,5.882065013
922.7,5.882065013
922.8,5.882065013
922.9,5.882065013
923,5.882065013
923.1,5.882065013
923.2,5.882065013
923.3,5.882065013
923.4,5.882065013
923.5,5.882065013
923.6,5.882065013
923.7,5.882065013
923.8,5.882065013
923.9,5.882065013
924,5.882065013
924.1,5.882065013
924.2,5.882065013
924.3,5.882065013
924.4,5.882065013
924.5,5.882065013
924.6,5.882065013
924.7,5.882065013
924.8,5.882065013
924.9,5.882065013
925,5.882065013
925.05,5.882065013
925.1,5.882065013
925.15,5.882065013
925.2,5.882065013
925.25,5.882065021
925.3,5.882064815
925.35,5.882064712
925.4,5.882085603
925.45,5.881873014
925.5,5.879837038
925.55,5.878081795
925.6,5.876091482
925.65,5.874267418
925.7,5.871994835
925.75,5.867829955
925.8,5.864288603
925.85,5.860685767
925.9,5.858646124
925.95,5.857789872
926,5.857784902
926.05,5.85778394
926.1,5.857784044
926.15,5.857784043
926.2,5.857784042
926.25,5.857784042
926.3,5.857784042
926.35,5.857784042
926.4,5.857784042
926.45,5.857784042
926.5,5.857784042
926.55,5.857784042
926.6,5.857784042
926.65,5.857784042
926.7,5.857784042
926.75,5.857784042
926.8,5.857784042
926.85,5.857784046
926.9,5.857784001
926.95,5.85778382
927,5.857792368
927.05,5.8577867
927.1,5.861331444
927.15,5.865405089
927.2,5.871662859
927.25,5.874345663
927.3,5.87600304
927.35,5.876014749
927.4,5.876821793
927.45,5.878866766
927.5,5.880744382
927.55,5.882081765
927.6,5.882074432
927.65,5.882064572
927.7,5.882065014
927.75,5.882065018
927.8,5.882065013
927.85,5.882065013
927.9,5.882065013
927.95,5.882065013
928,5.882065013
928.05,5.882065013
928.1,5.882065013
928.15,5.882065013
928.2,5.882065013
928.25,5.882065013
928.3,5.882065013
928.35,5.882065013
928.4,5.882065013
928.45,5.882065013
928.5,5.882065013
928.55,5.882065013
928.6,5.882065013
928.65,5.882065013
928.7,5.882065013
928.75,5.882065013
928.8,5.882065013
928.85,5.882065013
928.9,5.882065013
928.95,5.882065004
929,5.88206517
929.05,5.882065381
929.1,5.882045327
929.15,5.882152214
929.2,5.884175523
929.25,5.887344645
929.3,5.893536171
929.35,5.899054393
929.4,5.904030324
929.45,5.908152734
929.5,5.912803022
929.55,5.918540653
929.6,5.924348851
929.65,5.929576661
929.7,5.935760963
929.75,5.944147186
929.8,5.952974151
929.85,5.961248902
929.9,5.965113557
929.95,5.96700676
930,5.967044227
930.05,5.967038557
930.1,5.967032395
930.15,5.96840661
930.2,5.970274136
930.25,5.972332426
930.3,5.973981502
930.35,5.976024981
930.4,5.979637976
930.45,5.983177102
930.5,5.987342107
930.55,5.989584406
930.6,5.991440863
930.65,5.993471551
930.7,5.995123054
930.75,5.997187912
930.8,6.000656756
930.85,6.00422924
930.9,6.008375779
930.95,6.011850397
931,6.015687443
931.05,6.019677934
931.1,6.022994761
931.15,6.027151412
931.2,6.033850926
931.25,6.040511283
931.3,6.044661736
931.35,6.046011206
931.4,6.045963076
931.45,6.047837734
931.5,6.049592346
931.55,6.051664366
931.6,6.053422376
931.65,6.055471429
931.7,6.05954986
931.75,6.063051446
931.8,6.067024494
931.85,6.072485557
931.9,6.077797684
931.95,6.084020871
932,6.090605361
932.05,6.097961371
932.1,6.104080049
932.15,6.108146469
932.2,6.112299638
932.25,6.12928247
932.3,6.146753553
932.35,6.16544864
932.4,6.178646973
932.45,6.192318409
932.5,6.21631031
932.55,6.235069665
932.6,6.255832337
932.65,6.267821063
932.7,6.278797116
932.75,6.293206901
932.8,6.308778412
932.85,6.328126186
932.9,6.352657169
932.95,6.383620725
933,6.437615798
933.05,6.480000677
933.1,6.519823211
933.15,6.550069446
933.2,6.601709741
933.25,6.683301498
933.3,6.768717449
933.35,6.848308773
933.4,6.937357572
933.45,7.049099804
933.5,7.176474335
933.55,7.278862208
933.6,7.350979325
933.65,7.42706706
933.7,7.506683825
933.75,7.586533737
933.8,7.692085289
933.85,7.8255813
933.9,7.991140774
933.95,8.140391115
934,8.257637247
934.05,8.394355941
934.1,8.524503656
934.15,8.651375513
934.2,8.788234724
934.25,8.874887038
934.3,8.950922494
934.35,9.06642886
934.4,9.174640857
934.45,9.307047381
934.5,9.354454445
934.55,9.385709811
934.6,9.419585072
934.65,9.450896836
934.7,9.488304781
934.75,9.512410654
934.8,9.525381951
934.85,9.516886845
934.9,9.508292191
934.95,9.499376862
935,9.493129661
935.05,9.47539687
935.1,9.438699125
935.15,9.396217196
935.2,9.361688633
935.25,9.341108617
935.3,9.31379672
935.35,9.279759493
935.4,9.245382873
935.45,9.223835667
935.5,9.207269094
935.55,9.194077478
935.6,9.183465107
935.65,9.179318882
935.7,9.178172234
935.75,9.178250777
935.8,9.182092614
935.85,9.18691538
935.9,9.195191317
935.95,9.205300813
936,9.217326124
936.05,9.237935628
936.1,9.253361182
936.15,9.268945768
936.2,9.278509484
936.25,9.286786969
936.3,9.29508454
936.35,9.29824091
936.4,9.297942138
936.45,9.279411109
936.5,9.258895352
936.55,9.2284822
936.6,9.210995199
936.65,9.19146745
936.7,9.155755524
936.75,9.111596692
936.8,9.060123806
936.85,9.02385137
936.9,8.995042783
936.95,8.960009623
937,8.923907216
937.05,8.886071641
937.1,8.832222701
937.15,8.777389087
937.2,8.713015799
937.25,8.676859753
937.3,8.65056414
937.35,8.623531395
937.4,8.584561178
937.45,8.545044204
937.5,8.511925527
937.55,8.493667245
937.6,8.480283344
937.65,8.470696792
937.7,8.463158475
937.75,8.456996706
937.8,8.444612304
937.85,8.429848148
937.9,8.413436319
937.95,8.403342621
938,8.395488281
938.05,8.386293027
938.1,8.377925267
938.15,8.369618137
938.2,8.36391326
938.25,8.358182591
938.3,8.350021254
938.35,8.342585335
938.4,8.332307301
938.45,8.318103292
938.5,8.303039961
938.55,8.282235038
938.6,8.268322959
938.65,8.255212047
938.7,8.245141594
938.75,8.236118272
938.8,8.22367742
938.85,8.214307018
938.9,8.20536345
938.95,8.195020004
939,8.187352608
939.05,8.179676581
939.1,8.170151702
939.15,8.160085084
939.2,8.145566302
939.25,8.13734751
939.3,8.130375303
939.35,8.124229493
939.4,8.119010788
939.45,8.113088572
939.5,8.107515926
939.55,8.10168291
939.6,8.093373412
939.65,8.084981216
939.7,8.075667505
939.75,8.065426078
939.8,8.057122587
939.85,8.046882294
939.9,8.035841698
939.95,8.026116241
940,8.017813365
940.05,8.012067084
940.1,8.00640601
940.15,8.000359119
940.2,7.99609009
940.25,7.991946088
940.3,7.988265569
940.35,7.985046005
940.4,7.982981018
940.45,7.981236259
940.5,7.979323911
940.55,7.977372262
940.6,7.976277524
940.65,7.976292893
940.7,7.976299114
940.75,7.976298681
940.8,7.976298681
940.85,7.976298686
940.9,7.976298686
940.95,7.976298686
941,7.976298685
941.05,7.976298684
941.1,7.976298786
941.15,7.976297869
941.2,7.976292955
