Energy (eV),Intensity
923.2,3.453968
923.3,3.453968
923.4,3.453968
923.5,3.453968
923.6,3.453968
923.7,3.453968
923.8,3.453968
923.9,3.453968
924,3.453968
924.1,3.453968
924.2,3.453968
924.3,3.453968
924.4,3.453968
924.5,3.453968
924.6,3.453968
924.7,3.453968
924.8,3.453968
924.9,3.453968
925,3.453968
925.01,3.454062849
925.02,3.454216954
925.03,3.454387605
925.04,3.454532092
925.05,3.454607704
925.06,3.454571731
925.07,3.454381462
925.08,3.453994188
925.09,3.453382902
925.1,3.452593982
925.11,3.451695218
925.12,3.450754405
925.13,3.449839339
925.14,3.449017813
925.15,3.448357623
925.16,3.447926563
925.17,3.447773605
925.18,3.447844836
925.19,3.448051362
925.2,3.448304262
925.21,3.448514615
925.22,3.448593499
925.23,3.448451992
925.24,3.448001174
925.25,3.447168953
925.26,3.44599118
925.27,3.444546324
925.28,3.442912954
925.29,3.441169643
925.3,3.439394963
925.31,3.437667485
925.32,3.43606578
925.33,3.434660553
925.34,3.433463066
925.35,3.432457413
925.36,3.431627549
925.37,3.430957431
925.38,3.430431013
925.39,3.430032251
925.4,3.429745101
925.41,3.42955363
925.42,3.42944291
925.43,3.429398543
925.44,3.429406136
925.45,3.429451295
925.46,3.429519627
925.47,3.429596738
925.48,3.429668234
925.49,3.429720721
925.5,3.429751474
925.51,3.429764249
925.52,3.42976289
925.53,3.429751243
925.54,3.429733151
925.55,3.429712461
925.56,3.429693017
925.57,3.429678455
925.58,3.429669709
925.59,3.429665831
925.6,3.429665834
925.61,3.429668733
925.62,3.42967354
925.63,3.42967927
925.64,3.429684936
925.65,3.429689588
925.66,3.429692854
925.67,3.429694821
925.68,3.429695588
925.69,3.429695258
925.7,3.42969393
925.71,3.429691704
925.72,3.429688681
925.73,3.429684974
925.74,3.429680938
925.75,3.429677148
925.76,3.429674191
925.77,3.429672651
925.78,3.429673112
925.79,3.429676159
925.8,3.429682377
925.81,3.429692293
925.82,3.429705021
925.83,3.429718189
925.84,3.42972936
925.85,3.429736094
925.86,3.429735951
925.87,3.429726494
925.88,3.429705281
925.89,3.429670029
925.9,3.429623505
925.91,3.429574524
925.92,3.429532258
925.93,3.429505879
925.94,3.42950456
925.95,3.429537473
925.96,3.429613789
925.97,3.429742287
925.98,3.429914335
925.99,3.430097415
926,3.430257277
926.01,3.430359672
926.02,3.430370352
926.03,3.430255066
926.04,3.429979565
926.05,3.42951014
926.06,3.428846908
926.07,3.428043244
926.08,3.427157199
926.09,3.426246825
926.1,3.425370174
926.11,3.424585298
926.12,3.423950248
926.13,3.423522671
926.14,3.423321534
926.15,3.423295799
926.16,3.423387054
926.17,3.423536887
926.18,3.423686886
926.19,3.42377864
926.2,3.423753736
926.21,3.42355394
926.22,3.42314918
926.23,3.422568152
926.24,3.421846902
926.25,3.421021481
926.26,3.420127936
926.27,3.419202318
926.28,3.418280675
926.29,3.417399012
926.3,3.416579531
926.31,3.415811142
926.32,3.415077836
926.33,3.4143636
926.34,3.413652425
926.35,3.412928301
926.36,3.412175216
926.37,3.411377173
926.38,3.410528442
926.39,3.409652029
926.4,3.408775927
926.41,3.407928128
926.42,3.407136627
926.43,3.406429415
926.44,3.405834486
926.45,3.40537983
926.46,3.405082423
926.47,3.404923366
926.48,3.404876471
926.49,3.404915549
926.5,3.405014413
926.51,3.405146873
926.52,3.405286741
926.53,3.405407829
926.54,3.405489765
926.55,3.405534288
926.56,3.405548385
926.57,3.405539043
926.58,3.405513251
926.59,3.405477995
926.6,3.405440264
926.61,3.405407044
926.62,3.405384012
926.63,3.405371021
926.64,3.405366308
926.65,3.405368111
926.66,3.40537467
926.67,3.405384222
926.68,3.405395005
926.69,3.405405257
926.7,3.405413448
926.71,3.40541925
926.72,3.405422721
926.73,3.405423922
926.74,3.405422913
926.75,3.405419753
926.76,3.405414503
926.77,3.405407221
926.78,3.405398125
926.79,3.40538838
926.8,3.405379506
926.81,3.405373026
926.82,3.405370464
926.83,3.40537334
926.84,3.405383177
926.85,3.405401499
926.86,3.405429147
926.87,3.405462098
926.88,3.405494214
926.89,3.405519344
926.9,3.405531338
926.91,3.405524048
926.92,3.405491324
926.93,3.405427017
926.94,3.405327102
926.95,3.40520554
926.96,3.405085336
926.97,3.404989566
926.98,3.404941306
926.99,3.404963629
927,3.405079611
927.01,3.405312328
927.02,3.405682534
927.03,3.406187576
927.04,3.406811242
927.05,3.407537154
927.06,3.408348935
927.07,3.409230207
927.08,3.410164592
927.09,3.411135712
927.1,3.412126676
927.11,3.413114366
927.12,3.414071521
927.13,3.414970802
927.14,3.415784872
927.15,3.416486395
927.16,3.417048033
927.17,3.41744245
927.18,3.417645355
927.19,3.417677476
927.2,3.417593902
927.21,3.417450583
927.22,3.417303475
927.23,3.417208529
927.24,3.417221699
927.25,3.417398939
927.26,3.417793045
927.27,3.418399171
927.28,3.419162085
927.29,3.420024859
927.3,3.420930562
927.31,3.421822267
927.32,3.422643044
927.33,3.423335965
927.34,3.423845955
927.35,3.424160645
927.36,3.424310392
927.37,3.424327411
927.38,3.424243918
927.39,3.424092129
927.4,3.423904261
927.41,3.423712528
927.42,3.423548631
927.43,3.423428936
927.44,3.423352243
927.45,3.423316392
927.46,3.423319221
927.47,3.42335857
927.48,3.423432277
927.49,3.423538181
927.5,3.423673899
927.51,3.423828221
927.52,3.423978361
927.53,3.424100748
927.54,3.424171809
927.55,3.424167975
927.56,3.424065674
927.57,3.423841335
927.58,3.423471728
927.59,3.422952614
927.6,3.422308305
927.61,3.421565477
927.62,3.4207508
927.63,3.419890948
927.64,3.419012593
927.65,3.418142409
927.66,3.4173069
927.67,3.416518827
927.68,3.415767202
927.69,3.41503868
927.7,3.414319915
927.71,3.413597559
927.72,3.412858266
927.73,3.412088692
927.74,3.411275582
927.75,3.410418076
927.76,3.409539966
927.77,3.408667966
927.78,3.407828788
927.79,3.407049143
927.8,3.406355743
927.81,3.405775301
927.82,3.405334471
927.83,3.405045991
927.84,3.404890609
927.85,3.404844598
927.86,3.404884227
927.87,3.404985769
927.88,3.405125496
927.89,3.405279678
927.9,3.405424597
927.91,3.405541934
927.92,3.405627748
927.93,3.40568047
927.94,3.405698527
927.95,3.40568035
927.96,3.405624366
927.97,3.405529005
927.98,3.405392698
927.99,3.405220606
928,3.405038723
928.01,3.404877061
928.02,3.404765634
928.03,3.404734455
928.04,3.404813537
928.05,3.405032893
928.06,3.405422536
928.07,3.405997967
928.08,3.406722295
928.09,3.407546813
928.1,3.408422813
928.11,3.409301585
