Energy (eV),Intensity
920,0.015909092
920.05,0.015841704
920.1,0.015852255
920.15,0.015952288
920.2,0.016136154
920.25,0.016371151
920.3,0.016621784
920.35,0.01684751
920.4,0.017004429
920.45,0.017061618
920.5,0.017043082
920.55,0.016987405
920.6,0.016941728
920.65,0.016967299
920.7,0.017118943
920.75,0.017351468
920.8,0.017550028
920.85,0.017624437
920.9,0.017600189
920.95,0.017534844
921,0.017486283
921.05,0.017512941
921.1,0.017666227
921.15,0.017899893
921.2,0.018096505
921.25,0.018164281
921.3,0.018138826
921.35,0.018092667
921.4,0.018074282
921.45,0.018088621
921.5,0.018133321
921.55,0.018165671
921.6,0.018112186
921.65,0.017925304
921.7,0.017688868
921.75,0.017526501
921.8,0.017497069
921.85,0.017536607
921.9,0.017570521
921.95,0.017572896
922,0.017556672
922.05,0.017536833
922.1,0.017533352
922.15,0.017567527
922.2,0.017622916
922.25,0.017608027
922.3,0.017431948
922.35,0.017164097
922.4,0.017007776
922.45,0.017120026
922.5,0.017382602
922.55,0.017584314
922.6,0.017613719
922.65,0.017567556
922.7,0.017562183
922.75,0.017596695
922.8,0.017567745
922.85,0.017395596
922.9,0.017156385
922.95,0.016981652
923,0.016943319
923.05,0.016982713
923.1,0.017025802
923.15,0.017036278
923.2,0.017012309
923.25,0.016961742
923.3,0.016943553
923.35,0.017035672
923.4,0.017255862
923.45,0.017483623
923.5,0.01758549
923.55,0.017563228
923.6,0.017547861
923.65,0.017655862
923.7,0.017877232
923.75,0.018152051
923.8,0.018418027
923.85,0.018607449
923.9,0.018656603
923.95,0.018612056
924,0.018630638
924.05,0.018836672
924.1,0.019102084
924.15,0.019194463
924.2,0.019004801
924.25,0.018737442
924.3,0.018635912
924.35,0.018702263
924.4,0.018686021
924.45,0.018372841
924.5,0.017891584
924.55,0.017520296
924.6,0.017429821
924.65,0.017504127
924.7,0.017583228
924.75,0.01759511
924.8,0.01756399
924.85,0.017520445
924.9,0.017506165
924.95,0.017567885
925,0.017731218
925.05,0.017962619
925.1,0.018218278
925.15,0.018454288
925.2,0.018626632
925.25,0.018698409
925.3,0.018689617
925.35,0.018647523
925.4,0.018614938
925.45,0.018621067
925.5,0.018690212
925.55,0.018767904
925.6,0.018705382
925.65,0.018377447
925.7,0.017905047
925.75,0.017532822
925.8,0.017424482
925.85,0.017490522
925.9,0.017593822
925.95,0.017640081
926,0.017588623
926.05,0.017412509
926.1,0.017177462
926.15,0.016998034
926.2,0.016949992
926.25,0.016981469
926.3,0.01701573
926.35,0.017017902
926.4,0.017007974
926.45,0.017007069
926.5,0.017011833
926.55,0.017005391
926.6,0.016982627
926.65,0.016979192
926.7,0.017037596
926.75,0.01711819
926.8,0.017068659
926.85,0.016752859
926.9,0.016279776
926.95,0.01590028
927,0.015790807
927.05,0.015853136
927.1,0.015928766
927.15,0.015938294
927.2,0.015915842
927.25,0.015901335
927.3,0.015902855
927.35,0.015909178
927.4,0.015911366
927.45,0.015910197
927.5,0.01590873
927.55,0.015908537
927.6,0.015908961
927.65,0.015909218
927.7,0.015909171
927.75,0.015909092
927.8,0.015909168
927.85,0.015909215
927.9,0.015908963
927.95,0.015908548
928,0.015908737
928.05,0.015910176
928.1,0.015911322
928.15,0.015909175
928.2,0.015902975
928.25,0.015901487
928.3,0.015915718
928.35,0.015937731
928.4,0.015928372
928.45,0.015854193
928.5,0.015793103
928.55,0.015900526
928.6,0.016273726
928.65,0.016745087
928.7,0.017075111
928.75,0.017147408
928.8,0.01705809
928.85,0.016924343
928.9,0.016863351
928.95,0.016992304
929,0.017377452
929.05,0.017847173
929.1,0.018161855
929.15,0.018214139
929.2,0.018135881
929.25,0.018076811
929.3,0.01807894
929.35,0.018102148
929.4,0.018111504
929.45,0.018107764
929.5,0.018102597
929.55,0.018102408
929.6,0.018103632
929.65,0.018101979
929.7,0.018099367
929.75,0.018102663
929.8,0.018115008
929.85,0.018119535
929.9,0.018093169
929.95,0.018046783
930,0.018058747
930.05,0.018208151
930.1,0.018451169
930.15,0.01864138
930.2,0.018667264
930.25,0.018625154
930.3,0.018681363
930.35,0.01890065
930.4,0.019135949
930.45,0.019223677
930.5,0.019182042
930.55,0.019188001
930.6,0.019379282
930.65,0.019636994
930.7,0.019751346
930.75,0.019663574
930.8,0.019645487
930.85,0.019995354
930.9,0.020672544
930.95,0.021326854
931,0.021664039
931.05,0.02179874
931.1,0.021998607
931.15,0.022403595
931.2,0.022859896
931.25,0.023184965
931.3,0.023457627
931.35,0.02400643
931.4,0.025088647
931.45,0.026440789
931.5,0.027594597
931.55,0.028293957
931.6,0.028795249
931.65,0.029420058
931.7,0.030249891
931.75,0.031126324
931.8,0.031880021
931.85,0.032338328
931.9,0.03232819
931.95,0.032072758
932,0.032798109
932.05,0.035815992
932.1,0.040676733
932.15,0.04508934
932.2,0.047109264
932.25,0.047885812
932.3,0.049912513
932.35,0.054677764
932.4,0.060982016
932.45,0.067214733
932.5,0.072605978
932.55,0.077304975
932.6,0.081557683
932.65,0.08598789
932.7,0.091391231
932.75,0.098027594
932.8,0.104656732
932.85,0.109816912
932.9,0.113193073
932.95,0.11578174
933,0.118557019
933.05,0.121740697
933.1,0.125194173
933.15,0.128812607
933.2,0.132597033
933.25,0.136556486
933.3,0.140330472
933.35,0.143116324
933.4,0.14422269
933.45,0.144118855
933.5,0.143857104
933.55,0.144160479
933.6,0.1447205
933.65,0.145037845
933.7,0.144895856
933.75,0.144431744
933.8,0.143803077
933.85,0.143149536
933.9,0.14260136
933.95,0.142220288
934,0.141845502
934.05,0.141275163
934.1,0.140471981
934.15,0.139614216
934.2,0.138865405
934.25,0.13811098
934.3,0.137082818
934.35,0.135611131
934.4,0.133868327
934.45,0.132098963
934.5,0.130502553
934.55,0.129216873
934.6,0.128351958
934.65,0.127783587
934.7,0.127251996
934.75,0.126553279
934.8,0.125690821
934.85,0.124716145
934.9,0.123752301
934.95,0.123024966
935,0.122719948
935.05,0.122511862
935.1,0.121765471
935.15,0.120119438
935.2,0.11826833
935.25,0.117143343
935.3,0.116913175
935.35,0.116601243
935.4,0.115246595
935.45,0.113139231
935.5,0.111363261
935.55,0.110710844
935.6,0.110756773
935.65,0.110777639
935.7,0.110415836
935.75,0.109889042
935.8,0.109444799
935.85,0.109081101
935.9,0.108630072
935.95,0.107986354
936,0.107320301
936.05,0.106873012
936.1,0.106759958
936.15,0.106889681
936.2,0.107149948
936.25,0.107409515
936.3,0.107523908
936.35,0.107447799
936.4,0.107576428
936.45,0.108422278
936.5,0.11010779
936.55,0.112082426
936.6,0.113762168
936.65,0.115020935
936.7,0.116066165
936.75,0.1170858
936.8,0.118141537
936.85,0.119257666
936.9,0.12040164
936.95,0.121438159
937,0.122232945
937.05,0.122826067
937.1,0.123390473
937.15,0.124100627
937.2,0.125122005
937.25,0.126614958
937.3,0.128477451
937.35,0.130110224
937.4,0.130910357
937.45,0.131092485
937.5,0.131523245
937.55,0.132856375
937.6,0.134548684
937.65,0.135673982
937.7,0.135759549
937.75,0.135234023
937.8,0.134616521
937.85,0.134155587
937.9,0.133874007
937.95,0.133755242
938,0.133605785
938.05,0.133173087
938.1,0.132372457
938.15,0.131469079
938.2,0.130755011
938.25,0.130215178
938.3,0.129566417
938.35,0.128588552
938.4,0.12747579
938.45,0.126569484
938.5,0.126051031
938.55,0.125751717
938.6,0.125462044
938.65,0.125080243
938.7,0.124602913
938.75,0.124034699
938.8,0.123407168
938.85,0.122761957
938.9,0.12213071
938.95,0.121522112
939,0.120940042
939.05,0.120354527
939.1,0.119703257
939.15,0.118954083
939.2,0.118276295
939.25,0.117918057
939.3,0.117951581
939.35,0.118024753
939.4,0.117739347
939.45,0.11707583
939.5,0.116392981
939.55,0.116009336
939.6,0.115860316
939.65,0.115722904
939.7,0.115475123
939.75,0.115251937
939.8,0.115222573
939.85,0.115412774
939.9,0.115698354
939.95,0.115975499
940,0.116336199
940.05,0.116957338
940.1,0.117873668
940.15,0.118741167
940.2,0.119167377
940.25,0.119134645
940.3,0.119034989
