Energy (eV),Intensity,,,
913.8058668,0.165636326,,num energy vals,gap from top to bottom
913.8044279,0.164539139,,7760,85.5672274
913.802989,0.163441952,,avg energy spacing,
913.80155,0.162344765,,0.011026705,
913.8001111,0.161247578,,window size for 1.5 eV spacing on average,
913.7986722,0.160150391,,136.0333898,
913.7972332,0.159053204,,,
913.7957943,0.157956017,,,
913.9394821,0.165631187,,,
913.9380432,0.164534,,,
913.9366043,0.163436813,,,
913.9351653,0.162339626,,,
913.9337264,0.161242439,,,
913.9322875,0.160145252,,,
913.9308485,0.159048065,,,
913.9294096,0.157950877,,,
914.0730974,0.165626048,,,
914.0716585,0.164528861,,,
914.0702195,0.163431674,,,
914.0687806,0.162334487,,,
914.0673417,0.1612373,,,
914.0659027,0.160140113,,,
914.0644638,0.159042925,,,
914.0630249,0.157945738,,,
914.2067127,0.165620909,,,
914.2052738,0.164523722,,,
914.2038348,0.163426535,,,
914.2023959,0.162329348,,,
914.200957,0.16123216,,,
914.199518,0.160134973,,,
914.1980791,0.159037786,,,
914.1966401,0.157940599,,,
914.1952012,0.156843412,,,
914.340328,0.16561577,,,
914.338889,0.164518583,,,
914.3374501,0.163421396,,,
914.3360112,0.162324208,,,
914.3345722,0.161227021,,,
914.3331333,0.160129834,,,
914.3316944,0.159032647,,,
914.3302554,0.15793546,,,
914.3288165,0.156838273,,,
914.4739433,0.165610631,,,
914.4725043,0.164513444,,,
914.4710654,0.163416256,,,
914.4696265,0.162319069,,,
914.4681875,0.161221882,,,
914.4667486,0.160124695,,,
914.4653096,0.159027508,,,
914.4638707,0.157930321,,,
914.4624318,0.156833134,,,
914.6075585,0.165605491,,,
914.6061196,0.164508304,,,
914.6046807,0.163411117,,,
914.6032417,0.16231393,,,
914.6018028,0.161216743,,,
914.6003639,0.160119556,,,
914.5989249,0.159022369,,,
914.597486,0.157925182,,,
914.5960471,0.156827995,,,
914.7411738,0.165600352,,,
914.7397349,0.164503165,,,
914.738296,0.163405978,,,
914.736857,0.162308791,,,
914.7354181,0.161211604,,,
914.7339791,0.160114417,,,
914.7325402,0.15901723,,,
914.7311013,0.157920043,,,
914.7296623,0.156822856,,,
914.8747891,0.165595213,,,
914.8733502,0.164498026,,,
914.8719112,0.163400839,,,
914.8704723,0.162303652,,,
914.8690334,0.161206465,,,
914.8675944,0.160109278,,,
914.8661555,0.159012091,,,
914.8647166,0.157914904,,,
