Energy (eV),Intensity,,
914.0262293,0.435549476,,avg spacing
914.0247903,0.434452289,,0.007919625
914.0233514,0.433355102,,
914.0219125,0.432257915,,189.4029073
914.0204735,0.431160728,,
914.0190346,0.430063541,,
914.0175957,0.428966354,,
914.1612835,0.436641524,,
914.1598446,0.435544337,,
914.1584056,0.43444715,,
914.1569667,0.433349963,,
914.1555278,0.432252776,,
914.1540888,0.431155589,,
914.1526499,0.430058402,,
914.151211,0.428961215,,
914.2948988,0.436636385,,
914.2934598,0.435539198,,
914.2920209,0.434442011,,
914.290582,0.433344824,,
914.289143,0.432247637,,
914.2877041,0.43115045,,
914.2862652,0.430053263,,
914.2848262,0.428956076,,
914.2833873,0.427858889,,
914.4285141,0.436631246,,
914.4270751,0.435534059,,
914.4256362,0.434436872,,
914.4241973,0.433339685,,
914.4227583,0.432242498,,
914.4213194,0.431145311,,
914.4198805,0.430048124,,
914.4184415,0.428950936,,
914.4170026,0.427853749,,
914.4155637,0.426756562,,
914.5621293,0.436626107,,
914.5606904,0.43552892,,
914.5592515,0.434431733,,
914.5578125,0.433334546,,
914.5563736,0.432237359,,
914.5549347,0.431140172,,
914.5534957,0.430042984,,
914.5520568,0.428945797,,
914.5506179,0.42784861,,
914.5491789,0.426751423,,
914.6957446,0.436620968,,
914.6943057,0.435523781,,
914.6928668,0.434426594,,
914.6914278,0.433329407,,
914.6899889,0.43223222,,
914.68855,0.431135032,,
914.687111,0.430037845,,
914.6856721,0.428940658,,
914.6842332,0.427843471,,
914.6827942,0.426746284,,
914.6813553,0.425649097,,
914.6799164,0.42455191,,
914.827921,0.435518642,,
914.826482,0.434421455,,
914.8250431,0.433324267,,
914.8236042,0.43222708,,
914.8221652,0.431129893,,
914.8207263,0.430032706,,
914.8192874,0.428935519,,
914.8178484,0.427838332,,
914.8164095,0.426741145,,
914.8149706,0.425643958,,
914.8135316,0.424546771,,
914.9600973,0.434416315,,
914.9586584,0.433319128,,
914.9572195,0.432221941,,
914.9557805,0.431124754,,
914.9543416,0.430027567,,
914.9529027,0.42893038,,
914.9514637,0.427833193,,
914.9500248,0.426736006,,
914.9485859,0.425638819,,
914.9471469,0.424541632,,
915.0937126,0.434411176,,
915.0922737,0.433313989,,
915.0908347,0.432216802,,
915.0893958,0.431119615,,
915.0879569,0.430022428,,
915.0865179,0.428925241,,
915.085079,0.427828054,,
915.0836401,0.426730867,,
915.0822011,0.42563368,,
915.0807622,0.424536493,,
915.2273279,0.434406037,,
915.225889,0.43330885,,
915.22445,0.432211663,,
915.2230111,0.431114476,,
915.2215722,0.430017289,,
915.2201332,0.428920102,,
915.2186943,0.427822915,,
915.2172554,0.426725728,,
915.2158164,0.425628541,,
915.3609432,0.434400898,,
915.3595042,0.433303711,,
915.3580653,0.432206524,,
915.3566264,0.431109337,,
915.3551874,0.43001215,,
915.3537485,0.428914963,,
915.3523096,0.427817776,,
915.3508706,0.426720589,,
915.3494317,0.425623402,,
915.4945585,0.434395759,,
915.4931195,0.433298572,,
915.4916806,0.432201385,,
915.4902417,0.431104198,,
915.4888027,0.430007011,,
915.4873638,0.428909824,,
915.4859249,0.427812637,,
915.4844859,0.42671545,,
915.6281737,0.43439062,,
915.6267348,0.433293433,,
915.6252959,0.432196246,,
915.6238569,0.431099059,,
915.622418,0.430001872,,
915.6209791,0.428904685,,
915.6195401,0.427807498,,
915.6181012,0.426710311,,
915.761789,0.434385481,,
915.7603501,0.433288294,,
915.7589112,0.432191107,,
915.7574722,0.43109392,,
915.7560333,0.429996733,,
915.7545944,0.428899546,,
915.7531554,0.427802359,,
915.7517165,0.426705172,,
915.7502775,0.425607985,,
915.8954043,0.434380342,,
915.8939654,0.433283155,,
915.8925264,0.432185968,,
915.8910875,0.431088781,,
915.8896486,0.429991594,,
915.8882096,0.428894407,,
915.8867707,0.42779722,,
915.8853318,0.426700033,,
915.8838928,0.425602846,,
916.0275807,0.433278016,,
916.0261417,0.432180829,,
916.0247028,0.431083642,,
916.0232639,0.429986455,,
916.0218249,0.428889268,,
916.020386,0.427792081,,
916.018947,0.426694894,,
916.0175081,0.425597707,,
916.0160692,0.42450052,,
916.159757,0.43217569,,
916.1583181,0.431078503,,
916.1568791,0.429981316,,
916.1554402,0.428884129,,
916.1540013,0.427786942,,
916.1525623,0.426689755,,
916.1511234,0.425592568,,
916.1496845,0.424495381,,
916.2933723,0.432170551,,
916.2919334,0.431073364,,
916.2904944,0.429976177,,
916.2890555,0.42887899,,
916.2876165,0.427781803,,
916.2861776,0.426684616,,
916.2847387,0.425587429,,
916.2832997,0.424490242,,
916.2818608,0.423393055,,
916.4255486,0.431068225,,
916.4241097,0.429971038,,
916.4226708,0.428873851,,
916.4212318,0.427776664,,
916.4197929,0.426679477,,
916.418354,0.42558229,,
916.416915,0.424485103,,
916.4154761,0.423387916,,
